id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
Group	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000122786	5.81	6.77	0.74	0.49	0.31	2.64	3.93	0.5	2.01	6.12	0.2	3.65	4.62	2.68	5.55	7.42	0.29	0.53	2.77	3.41	4.7	2.84	4.98	7.06	6.92	5.15	8.52	5.84	1.79	6.01	5.16	6.12	0.06	1.2	2.46	5.03	3.14	0.16	6.9	1.38	2.5	5.77	4.03	6.02	3.81	2.62	2.09	0.67	0.53	0.1	5.23	0.03
ENSG00000008196	0	0	0.14	0.49	0.01	4.21	1.08	0	0	0.08	0	0.27	1.14	2.08	0	0.06	0.27	0	0	0	0.07	0.1	6.28	0	0	1.06	0.01	0.01	0.06	0	0.23	0	0	6.4	5.75	0	6.82	7.92	0.19	1.43	0	0.2	6.88	0.27	5.21	2.13	0.82	0.75	0.77	7.26	5.25	0.23
ENSG00000166033	6.37	7.04	5.48	6.73	6.39	2.81	0.07	1.66	1.94	2.24	0.46	0.71	1.25	0.82	0.06	6.32	0.08	0.1	1.23	4.07	4.8	2.54	2.7	1.52	4.08	1.93	5.36	0.51	3.4	7.17	6.34	7.07	2.59	0.08	2.66	4.27	4.38	0.27	0.31	0.15	6.63	6.49	4.24	1.29	5.63	2.82	0.19	3.88	0	1.1	0.1	1.21
ENSG00000189143	2.91	6.82	7.22	7.73	7.33	6.76	9.55	7.4	9.37	0.37	6.02	9.75	8.66	8.92	6.93	0.44	8.88	7.88	9.66	6.15	6.93	7.58	8.35	7.03	1.08	8.78	1.43	6.25	9.38	2.06	7.11	5.57	7.83	7.42	9.04	4.69	7.01	6.74	9.55	8.39	3.35	5.8	9.4	8.15	6.26	8.43	8.7	8.04	8.49	7.59	8.62	7.85
ENSG00000137440	7.18	5.94	2.08	2.89	2.02	0.83	0.07	0	0.15	0	0	0.45	0.18	0	4.89	0.26	0	0	0.23	6.68	6.22	1.92	3.5	5.36	0.07	5.72	0.16	2.34	0.41	6.51	4.06	7.27	0	0.08	0.27	0.11	0.25	0.38	2.74	0	0.14	6.26	5.07	3.96	1.83	1.77	0.87	0	0.39	0	2.45	0
ENSG00000069482	6.25	0.66	6.45	6.54	6.76	0.71	0.96	1.22	3.42	0.59	0.85	4.02	6.33	4.38	4.29	2.01	0.56	2.45	6.98	7.13	5.52	4.03	2.86	6.17	5.06	0.12	0	4.14	4.14	0	4.93	7.39	3.18	0.45	0.34	0	1.93	0	4.94	0.25	0	3.8	2.91	6.36	0	1.97	4	3.34	1.6	3.12	0	5.45
ENSG00000199298	0	0	0	4.94	0	0	0	0	0	5.32	0	5.26	0	0	0	0	0	0	0	0	4.26	6.25	0	0	0	0	0	0	0	0	5.08	0	0	0	0	0	0	0	0	0	0	0	0	7.8	6.41	7.13	0	0	0	7.22	0	0
ENSG00000053747	7.1	6.32	6.49	6.31	6.33	2.59	1.04	0.06	1.96	2.1	2.25	1.1	1.5	1.55	6.49	1.53	0.39	3.01	1.21	5.4	5.91	3.75	3.99	4.63	1.08	4.48	0.06	5.63	1	7.55	8.34	7.44	0.86	3.37	1.32	0.18	4.13	0.53	1.49	0.99	1.19	5.39	1.04	6.41	1.24	1.85	2.34	1.46	0.12	2.86	0.2	2.42
ENSG00000131620	0.5	1.88	5.64	1.2	3.47	0.26	5.42	7.1	5.77	0	1.82	5.62	4.87	5.24	7.33	0.95	6.83	6.22	4.55	5.34	6.68	6.89	3.6	3.42	0.31	2.72	0.31	0.99	0.97	1.48	3.27	0.96	1.32	5.48	4.74	0.1	5.64	6.37	2.06	5.77	0.08	1.41	6.22	4.17	0.04	5.72	3.88	2.82	5.19	6.88	5.14	6.86
ENSG00000133048	0	1.13	0.25	4.36	3.59	2.25	0.86	0.11	0	1.25	0.11	0.64	0.58	0.42	0.74	5.05	0.1	0.11	10.04	0.29	1.05	0.26	4.01	5.76	2.37	6.87	1.32	0	0.18	1.19	0.82	0.44	0.07	0.04	1.53	0	0.04	0.25	10.11	2.27	0.36	5.86	0.56	0.42	0	0	0.68	1.38	0.52	0.38	0.25	0.12
